1_ortho	4_cgram	11_infover	5_genre
irons	VER	ind:fut:1p;	na
irions	VER	cnd:pre:1p;	na
iriez	VER	cnd:pre:2p;	na
irez	VER	ind:fut:2p;	na
iras	VER	ind:fut:2s;	na
irait	VER	cnd:pre:3s;	na
irais	VER	cnd:pre:1s;cnd:pre:2s;	na
iraient	VER	cnd:pre:3p;	na
ira	VER	ind:fut:3s;	na
alla	VER	ind:pas:3s;	na
allai	VER	ind:pas:1s;	na
allais	VER	ind:imp:1s;ind:imp:2s;	na
irai	VER	ind:fut:1s;	na
allas	VER	ind:pas:2s;	na
allant	VER	par:pre;	na
vas	VER	imp:pre:2s;ind:pre:2s;	na
allés	VER	par:pas;	m
allassent	VER	sub:imp:3p;	na
aller	VER	inf;;inf;;inf;;	na
ça	PRO:dem	na	na
fassiez	VER	sub:pre:2p;	na
fis	VER	ind:pas:1s;ind:pas:2s;	na
fisse	VER	sub:imp:1s;	na
fassions	VER	sub:pre:1p;	na
fissent	VER	sub:imp:3p;	na
feront	VER	ind:fut:3p;	na
ferez	VER	ind:fut:2p;	na
fasses	VER	sub:pre:2s;	na
fissiez	VER	sub:imp:2p;	na
fissions	VER	sub:imp:1p;	na
firent	VER	ind:pas:3p;	na
fera	VER	ind:fut:3s;	na
ferait	VER	cnd:pre:3s;	na
feriez	VER	cnd:pre:2p;	na
font	VER	ind:pre:3p;	na
ferai	VER	ind:fut:1s;	na
ferions	VER	cnd:pre:1p;	na
ferais	VER	cnd:pre:1s;cnd:pre:2s;	na
feras	VER	ind:fut:2s;	na
feraient	VER	cnd:pre:3p;	na
fasse	VER	sub:pre:1s;sub:pre:3s;	na
ferons	VER	ind:fut:1p;	na
fassent	VER	sub:pre:3p;	na
fit	VER	ind:pas:3s;	na
faits	VER	par:pas;	m
faisait	VER	ind:imp:3s;	na
faites	VER	imp:pre:2p;ind:pre:2p;par:pas;;imp:pre:2p;ind:pre:2p;par:pas;	f
fîmes	VER	ind:pas:1p;	na
fît	VER	sub:imp:3s;	na
faire	VER	inf;;inf;;inf;;inf;;	na
fais	VER	imp:pre:2s;ind:pre:1s;ind:pre:2s;	na
faisaient	VER	ind:imp:3p;	na
faisais	VER	ind:imp:1s;ind:imp:2s;	na
