1_ortho	4_cgram	11_infover	5_genre
irons	VER	ind:fut:1p;	-
irions	VER	cnd:pre:1p;	-
iriez	VER	cnd:pre:2p;	-
irez	VER	ind:fut:2p;	-
iras	VER	ind:fut:2s;	-
irait	VER	cnd:pre:3s;	-
irais	VER	cnd:pre:1s;cnd:pre:2s;	-
iraient	VER	cnd:pre:3p;	-
ira	VER	ind:fut:3s;	-
alla	VER	ind:pas:3s;	-
allai	VER	ind:pas:1s;	-
allais	VER	ind:imp:1s;ind:imp:2s;	-
irai	VER	ind:fut:1s;	-
allas	VER	ind:pas:2s;	-
allant	VER	par:pre;	-
vas	VER	imp:pre:2s;ind:pre:2s;	-
allés	VER	par:pas;	m
allassent	VER	sub:imp:3p;	-
aller	VER	inf;;inf;;inf;;	-
ça	PRO:dem	-	-
fassiez	VER	sub:pre:2p;	-
fis	VER	ind:pas:1s;ind:pas:2s;	-
fisse	VER	sub:imp:1s;	-
fassions	VER	sub:pre:1p;	-
fissent	VER	sub:imp:3p;	-
feront	VER	ind:fut:3p;	-
ferez	VER	ind:fut:2p;	-
fasses	VER	sub:pre:2s;	-
fissiez	VER	sub:imp:2p;	-
fissions	VER	sub:imp:1p;	-
firent	VER	ind:pas:3p;	-
fera	VER	ind:fut:3s;	-
ferait	VER	cnd:pre:3s;	-
feriez	VER	cnd:pre:2p;	-
font	VER	ind:pre:3p;	-
ferai	VER	ind:fut:1s;	-
ferions	VER	cnd:pre:1p;	-
ferais	VER	cnd:pre:1s;cnd:pre:2s;	-
feras	VER	ind:fut:2s;	-
feraient	VER	cnd:pre:3p;	-
fasse	VER	sub:pre:1s;sub:pre:3s;	-
ferons	VER	ind:fut:1p;	-
fassent	VER	sub:pre:3p;	-
fit	VER	ind:pas:3s;	-
faits	VER	par:pas;	m
faisait	VER	ind:imp:3s;	-
faites	VER	imp:pre:2p;ind:pre:2p;par:pas;;imp:pre:2p;ind:pre:2p;par:pas;	f
fîmes	VER	ind:pas:1p;	-
fît	VER	sub:imp:3s;	-
faire	VER	inf;;inf;;inf;;inf;;	-
fais	VER	imp:pre:2s;ind:pre:1s;ind:pre:2s;	-
faisaient	VER	ind:imp:3p;	-
faisais	VER	ind:imp:1s;ind:imp:2s;	-
fîtes	VER	ind:pas:2p;	-
faisant	VER	par:pre;	-
fait	VER	ind:pre:3s;par:pas;par:pas;	m
faisiez	VER	ind:imp:2p;	-
faisions	VER	ind:imp:1p;	-
faite	VER	par:pas;	f
faisons	VER	imp:pre:1p;ind:pre:1p;	-
les	ART:def	-	-
on	PRO:per	-	-
l'	ART:def	-	m
soient	AUX	sub:pre:3p;	-
sois	AUX	sub:pre:2s;	-
étions	AUX	ind:imp:1p;	-
sommes	AUX	ind:pre:1p;	-
étiez	AUX	ind:imp:2p;	-
étant	AUX	par:pre;	-
était	AUX	ind:imp:3s;	-
étais	AUX	ind:imp:2s;	-
étaient	AUX	ind:imp:3p;	-
seras	AUX	ind:fut:2s;	-
sont	AUX	ind:pre:3p;	-
été	AUX	par:pas;	m
seront	AUX	ind:fut:3p;	-
serons	AUX	ind:fut:1p;	-
serions	AUX	cnd:pre:1p;	-
serez	AUX	ind:fut:2p;	-
serait	AUX	cnd:pre:3s;	-
serais	AUX	cnd:pre:2s;	-
seraient	AUX	cnd:pre:3p;	-
serai	AUX	ind:fut:1s;	-
sera	AUX	ind:fut:3s;	-
suis	AUX	ind:pre:1s;	-
est	AUX	ind:pre:3s;	-
seriez	AUX	cnd:pre:2p;	-
soit	AUX	sub:pre:3s;	-
être	AUX	inf;	-
es	AUX	ind:pre:2s;	-
fussent	AUX	sub:imp:3p;	-
fusses	AUX	sub:imp:2s;	-
fussiez	AUX	sub:imp:2p;	-
fussions	AUX	sub:imp:1p;	-
fut	AUX	ind:pas:3s;	-
soyez	AUX	sub:pre:2p;	-
soyons	AUX	sub:pre:1p;	-
furent	AUX	ind:pas:3p;	-
fus	AUX	ind:pas:2s;	-
êtes	AUX	ind:pre:2p;	-
fûtes	AUX	ind:pas:2p;	-
fût	AUX	sub:imp:3s;	-
fûmes	AUX	ind:pas:1p;	-
fusse	AUX	sub:imp:1s;	-
une	ART:ind	-	f
d'	PRE	-	-
pour	PRE	-	-
des	ART:ind	-	-
dite	VER	par:pas;	f
dire	VER	inf;;inf;;inf;;inf;;inf;;	-
disent	VER	ind:pre:3p;sub:pre:3p;	-
dirais	VER	cnd:pre:1s;cnd:pre:2s;	-
dites	VER	imp:pre:2p;ind:pre:2p;par:pas;	f
dit	VER	ind:fut:3p;ind:pre:3s;ind:pas:3s;par:pas;	m
dirait	VER	cnd:pre:3s;	-
dirai	VER	ind:fut:1s;	-
dirent	VER	ind:pas:3p;	-
dira	VER	ind:fut:3s;	-
disons	VER	imp:pre:1p;ind:pre:1p;	-
dîmes	VER	ind:pas:1p;	-
dît	VER	sub:imp:3s;	-
dîtes	VER	ind:pas:2p;	-
dise	VER	sub:pre:1s;sub:pre:3s;	-
disions	VER	ind:imp:1p;	-
disiez	VER	ind:imp:2p;sub:pre:2p;	-
diraient	VER	cnd:pre:3p;	-
diras	VER	ind:fut:2s;	-
dirons	VER	ind:fut:1p;	-
dissent	VER	sub:imp:3p;	-
diriez	VER	cnd:pre:2p;	-
dirions	VER	cnd:pre:1p;	-
dises	VER	sub:pre:2s;	-
disant	VER	par:pre;	-
disait	VER	ind:imp:3s;	-
dits	VER	par:pas;	m
diront	VER	ind:fut:3p;	-
direz	VER	ind:fut:2p;	-
disaient	VER	ind:imp:3p;	-
disais	VER	ind:imp:1s;ind:imp:2s;	-
dis	VER	imp:pre:2s;ind:pre:1s;ind:pre:1s;ind:pre:2s;ind:pas:1s;	-
en	PRE	-	-
puis	VER	ind:pre:1s;	-
puisse	VER	sub:pre:1s;sub:pre:3s;	-
pûtes	VER	ind:pas:2p;	-
peut	VER	ind:pre:3s;	-
pourront	VER	ind:fut:3p;	-
pouvaient	VER	ind:imp:3p;	-
peuvent	VER	ind:pre:3p;	-
pourriez	VER	cnd:pre:2p;	-
pourrons	VER	ind:fut:1p;	-
pourrions	VER	cnd:pre:1p;	-
pouvait	VER	ind:imp:3s;	-
pourrez	VER	ind:fut:2p;	-
pourras	VER	ind:fut:2s;	-
pourrait	VER	cnd:pre:3s;	-
pourrais	VER	cnd:pre:1s;cnd:pre:2s;	-
pourraient	VER	cnd:pre:3p;	-
pourrai	VER	ind:fut:1s;	-
pourra	VER	ind:fut:3s;	-
pouvais	VER	ind:imp:1s;ind:imp:2s;	-
puissiez	VER	sub:pre:2p;	-
peux	VER	ind:pre:1s;ind:pre:2s;	-
pouvons	VER	ind:pre:1p;	-
pus	VER	ind:pas:2s;sub:imp:1s;	-
pût	VER	sub:imp:3s;	-
pusses	VER	sub:imp:2s;	-
pussiez	VER	sub:imp:2p;	-
put	VER	ind:pas:3s;	-
purent	VER	ind:pas:3p;	-
puissent	VER	sub:pre:3p;	-
pincer	VER	ind:pre:2p;	-
pouvoir	VER	inf;	-
pusse	VER	sub:imp:1s;	-
pûmes	VER	ind:pas:1p;	-
pouvions	VER	ind:imp:1p;	-
pouviez	VER	ind:imp:2p;	-
pouvez	VER	ind:pre:2p;	-
pu	VER	par:pas;	m
pouvant	VER	par:pre;	-
puissions	VER	sub:pre:1p;	-
puisses	VER	sub:pre:2s;	-
pussent	VER	sub:imp:3p;	-
qui	PRO:rel	-	-
qui	PRO:int	-	-
voulions	VER	ind:imp:1p;sub:pre:1p;	-
voulons	VER	imp:pre:1p;ind:pre:1p;	-
voulu	VER	par:pas;	m
voudriez	VER	cnd:pre:2p;	-
vouloir	VER	inf;	-
vouliez	VER	ind:imp:2p;sub:pre:2p;	-
voulez	VER	imp:pre:2p;ind:pre:2p;	-
voulant	VER	par:pre;	-
voudrions	VER	cnd:pre:1p;	-
voudrons	VER	ind:fut:1p;	-
voudras	VER	ind:fut:2s;	-
voulait	VER	ind:imp:3s;	-
voulais	VER	ind:imp:1s;ind:imp:2s;	-
voudrez	VER	ind:fut:2p;	-
voulût	VER	sub:imp:3s;	-
voudrait	VER	cnd:pre:3s;	-
voulusse	VER	sub:imp:1s;	-
veuille	VER	imp:pre:2s;sub:pre:1s;sub:pre:3s;	-
veuillent	VER	sub:pre:3p;	-
veuilles	VER	sub:pre:2s;	-
veuillez	VER	imp:pre:2p;	-
veulent	VER	ind:pre:3p;	-
veut	VER	ind:pre:3s;	-
veux	VER	ind:pre:1s;ind:pre:2s;	-
voudrais	VER	cnd:pre:1s;cnd:pre:2s;	-
voudront	VER	ind:fut:3p;	-
voulûmes	VER	ind:pas:1p;	-
voulut	VER	ind:pas:3s;	-
voulussent	VER	sub:imp:3p;	-
voulaient	VER	ind:imp:3p;	-
voulus	VER	ind:pas:1s;par:pas;	m
voulurent	VER	ind:pas:3p;	-
voulues	VER	par:pas;	f
voudraient	VER	cnd:pre:3p;	-
voulue	VER	par:pas;	f
voudrai	VER	ind:fut:1s;	-
voudra	VER	ind:fut:3s;	-
ce	PRO:dem	-	m
mais	CON	-	-
me	PRO:per	-	-
nous	PRO:per	-	-
dans	PRE	-	-
elle	PRO:per	-	f
sachons	VER	imp:pre:1p;	-
su	VER	par:pas;	m
sus	VER	ind:pas:1s;ind:pas:2s;par:pas;	m
sachez	VER	imp:pre:2p;	-
sue	VER	par:pas;	f
sachiez	VER	sub:pre:2p;	-
sues	VER	par:pas;	f
